Theta,Layer 1 Depth,Layer 2 Depth,Number of Trainign Steps,Batch Size,Dropout Prob,Weight Penalty,Training Accuracy,Validation Accuracy,Testing Accuracy,Sensitivity,Specificity,Mean Accuracy,,,,,,,,,,,,
0.6,16,64,4301,100,1,0.01,79.98%,78.93%,80.49%,84.29%,72.14%,78.21%,,,,,,,8, NaN,2,2,2,2
 0.000000, 16, 16, 4301, 100,0.500000, 0.000100,77.205006%, 75.833333%, 79.268293%,83.571429%, 68.095238%, 75.833333%,
 0.000000, 16, 16, 4301, 100,0.500000, 0.010000,78.605483%, 74.761905%, 76.219512%,77.380952%, 72.142857%, 74.761905%,
 0.000000, 16, 16, 4301, 100,0.500000, 1.000000,68.146603%, 64.523810%, 64.837398%,71.428571%, 57.619048%, 64.523810%,
 0.200000, 16, 16, 4301, 100,0.500000, 0.000100,79.410012%, 76.309524%, 77.642276%,81.904762%, 71.190476%, 76.547619%,
 0.200000, 16, 16, 4301, 100,0.500000, 0.010000,79.141836%, 73.690476%, 76.422764%,77.857143%, 69.523810%, 73.690476%,
 0.200000, 16, 16, 4301, 100,0.500000, 1.000000,68.176400%, 64.285714%, 63.617886%,70.476190%, 56.428571%, 63.452381%,
 0.400000, 16, 16, 4301, 100,0.500000, 0.000100,79.141836%, 77.261905%, 78.252033%,85.952381%, 68.333333%, 77.142857%,
 0.400000, 16, 16, 4301, 100,0.500000, 0.010000,80.125149%, 77.261905%, 81.910569%,76.428571%, 77.142857%, 76.785714%,
 0.400000, 16, 16, 4301, 100,0.500000, 1.000000,67.431466%, 63.809524%, 63.008130%,70.000000%, 51.666667%, 60.833333%,
 0.600000, 16, 16, 4301, 100,0.500000, 0.000100,79.499404%, 78.452381%, 78.252033%,85.714286%, 70.952381%, 78.333333%,
 0.600000, 16, 16, 4301, 100,0.500000, 0.010000,80.184744%, 77.500000%, 80.284553%,84.523810%, 69.761905%, 77.142857%,
 0.600000, 16, 16, 4301, 100,0.500000, 1.000000,68.295590%, 64.523810%, 63.617886%,66.904762%, 51.428571%, 59.166667%,
 0.000000, 16, 32, 4301, 100,0.500000, 0.000100,78.128725%, 74.285714%, 75.406504%,79.761905%, 68.809524%, 74.285714%,
 0.000000, 16, 32, 4301, 100,0.500000, 0.010000,78.069130%, 76.428571%, 78.455285%,84.523810%, 68.333333%, 76.428571%,
 0.000000, 16, 32, 4301, 100,0.500000, 1.000000,68.533969%, 64.047619%, 64.634146%,73.095238%, 55.000000%, 64.047619%,
 0.200000, 16, 32, 4301, 100,0.500000, 0.000100,77.949940%, 72.380952%, 73.983740%,74.761905%, 70.238095%, 72.500000%,
 0.200000, 16, 32, 4301, 100,0.500000, 0.010000,79.380215%, 76.666667%, 82.723577%,80.952381%, 72.857143%, 76.904762%,
 0.200000, 16, 32, 4301, 100,0.500000, 1.000000,67.908224%, 64.047619%, 64.227642%,70.476190%, 52.857143%, 61.666667%,
